	a	f	i	n	p	t	u	z	0	1	2	3	4	5	6	7	8	9	.	;	*	+	<	>	&	=	(	)	{	}	ñ	 
0	17	17	9	17	17	17	17	17	1	1	1	1	1	1	1	1	1	1	8	16	16	16	16	16	15	16	16	16	16	16	7	0
1	5	5	5	5	5	5	5	5	1	1	1	1	1	1	1	1	1	1	2	7	7	7	7	7	7	7	7	7	7	7	7	4
2	5	5	5	5	5	5	5	5	3	3	3	3	3	3	3	3	3	3	8	7	7	7	7	7	7	7	7	7	7	7	7	5
3	5	5	5	5	5	5	5	5	3	3	3	3	3	3	3	3	3	3	5	7	7	7	7	7	7	7	7	7	7	7	7	4
4	17	17	9	17	17	17	17	17	1	1	1	1	1	1	1	1	1	1	8	16	16	16	16	16	15	16	16	16	16	16	7	0
5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	7	7	7	7	7	7	7	7	7	7	7	7	6
6	17	17	9	17	17	17	17	17	1	1	1	1	1	1	1	1	1	1	8	16	16	16	16	16	15	16	16	16	16	16	7	0
7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8
8	17	17	9	17	17	17	17	17	1	1	1	1	1	1	1	1	1	1	8	16	16	16	16	16	15	16	16	16	16	16	7	0
9	17	13	17	10	17	17	17	17	17	17	17	17	17	17	17	17	17	17	7	7	7	7	7	7	7	7	7	7	7	7	7	17
10	17	17	17	17	11	13	17	17	17	17	17	17	17	17	17	17	17	17	7	7	7	7	7	7	7	7	7	7	7	7	7	17
11	17	17	17	17	17	17	12	17	17	17	17	17	17	17	17	17	17	17	7	7	7	7	7	7	7	7	7	7	7	7	7	17
12	17	17	17	17	17	13	17	17	17	17	17	17	17	17	17	17	17	17	7	7	7	7	7	7	7	7	7	7	7	7	7	17
13	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	7	7	7	7	7	7	7	7	7	7	7	7	7	14
14	17	17	9	17	17	17	17	17	1	1	1	1	1	1	1	1	1	1	8	16	16	16	16	16	15	16	16	16	16	16	7	0
15	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	16	7	7	7	7	7	7	0
16	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	14
17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	7	7	7	7	7	7	7	7	7	7	7	7	7	18
18	17	17	9	17	17	17	17	17	1	1	1	1	1	1	1	1	1	1	8	16	16	16	16	16	15	16	16	16	16	16	7	0
